year,position,player,team
1982,투수,황태환,OB
1982,포수,김용운,MBC
1982,1루수,김용달,MBC
1982,2루수,차영화,해태
1982,3루수,김용희,롯데
1982,유격수,오대석,삼성
1982,외야수,김준환,해태
1982,외야수,김성관,롯데
1982,외야수,양승관,삼미
1983,투수,장명부,삼미
1983,포수,이만수,삼성
1983,1루수,신경식,OB
1983,2루수,정구선,삼미
1983,3루수,김용희,롯데
1983,유격수,김재박,MBC
1983,외야수,김종모,해태
1983,외야수,박종훈,OB
1983,외야수,장효조,삼성
1984,투수,최동원,롯데
1984,포수,이만수,삼성
1984,1루수,김용철,롯데
1984,2루수,정구선,삼미
1984,3루수,이광은,MBC
1984,유격수,김재박,MBC
1984,외야수,김종모,해태
1984,외야수,홍문종,롯데
1984,외야수,장효조,삼성
1984,지명타자,양세종,OB
1985,투수,김시진,삼성
1985,포수,이만수,삼성
1985,1루수,김성한,해태
1985,2루수,정구선,청보
1985,3루수,이순철,해태
1985,유격수,김재박,MBC
1985,외야수,박종훈,OB
1985,외야수,이광은,MBC
1985,외야수,장효조,삼성
1985,지명타자,김용희,롯데
1986,투수,선동열,해태
1986,포수,이만수,삼성
1986,1루수,김성한,해태
1986,2루수,김성래,삼성
1986,3루수,한대화,해태
1986,유격수,김재박,MBC
1986,외야수,김종모,해태
1986,외야수,이광은,MBC
1986,외야수,장효조,삼성
1986,지명타자,김봉연,해태
1987,투수,김시진,삼성
1987,포수,이만수,삼성
1987,1루수,김성한,해태
1987,2루수,김성래,삼성
1987,3루수,한대화,해태
1987,유격수,류중일,삼성
1987,외야수,김종모,해태
1987,외야수,이광은,MBC
1987,외야수,장효조,삼성
1987,지명타자,유승안,빙그레
1988,투수,선동열,해태
1988,포수,장채근,해태
1988,1루수,김성한,해태
1988,2루수,김성래,삼성
1988,3루수,한대화,해태
1988,유격수,장종훈,빙그레
1988,외야수,이순철,해태
1988,외야수,이강돈,빙그레
1988,외야수,이정훈,빙그레
1988,지명타자,김용철,롯데
1989,투수,선동열,해태
1989,포수,유승안,빙그레
1989,1루수,김성한,해태
1989,2루수,강기웅,삼성
1989,3루수,한대화,해태
1989,유격수,김재박,MBC
1989,외야수,김일권,태평양
1989,외야수,이강돈,빙그레
1989,외야수,고원부,빙그레
1989,지명타자,박철우,해태
1990,투수,선동열,해태
1990,포수,김동수,LG
1990,1루수,김상훈,LG
1990,2루수,강기웅,삼성
1990,3루수,한대화,해태
1990,유격수,장종훈,빙그레
1990,외야수,이호성,해태
1990,외야수,이강돈,빙그레
1990,외야수,이정훈,빙그레
1990,지명타자,박승호,삼성
1991,투수,선동열,해태
1991,포수,장채근,해태
1991,1루수,김성한,해태
1991,2루수,박정태,롯데
1991,3루수,한대화,해태
1991,유격수,류중일,삼성
1991,외야수,이순철,해태
1991,외야수,이호성,해태
1991,외야수,이정훈,빙그레
1991,지명타자,장종훈,빙그레
1992,투수,염종석,롯데
1992,포수,장채근,해태
1992,1루수,장종훈,빙그레
1992,2루수,박정태,롯데
1992,3루수,송구홍,LG
1992,유격수,박계원,롯데
1992,외야수,이순철,해태
1992,외야수,김응국,롯데
1992,외야수,이정훈,빙그레
1992,지명타자,김기태,쌍방울
1993,투수,선동열,해태
1993,포수,김동수,LG
1993,1루수,김성래,삼성
1993,2루수,강기웅,삼성
1993,3루수,한대화,LG
1993,유격수,이종범,해태
1993,외야수,이순철,해태
1993,외야수,전준호,롯데
1993,외야수,김광림,쌍방울
1993,지명타자,김기태,쌍방울
1994,투수,정명원,태평양
1994,포수,김동수,LG
1994,1루수,서용빈,LG
1994,2루수,박종호,LG
1994,3루수,한대화,LG
1994,유격수,이종범,해태
1994,외야수,윤덕규,태평양
1994,외야수,김재현,LG
1994,외야수,박노준,쌍방울
1994,지명타자,김기태,쌍방울
1995,투수,이상훈,LG
1995,포수,김동수,LG
1995,1루수,장종훈,한화
1995,2루수,이명수,OB
1995,3루수,홍현우,해태
1995,유격수,김민호,OB
1995,외야수,김광림,쌍방울
1995,외야수,전준호,롯데
1995,외야수,김상호,OB
1995,지명타자,김형석,OB
1996,투수,구대성,한화
1996,포수,박경완,쌍방울
1996,1루수,김경기,현대
1996,2루수,박정태,롯데
1996,3루수,홍현우,해태
1996,유격수,이종범,해태
1996,외야수,박재홍,현대
1996,외야수,김응국,롯데
1996,외야수,양준혁,삼성
1996,지명타자,박재용,해태
1997,투수,이대진,해태
1997,포수,김동수,LG
1997,1루수,이승엽,삼성
1997,2루수,최태원,쌍방울
1997,3루수,홍현우,해태
1997,유격수,이종범,해태
1997,외야수,박재홍,현대
1997,외야수,이병규,LG
1997,외야수,양준혁,삼성
1997,지명타자,박재용,해태
1998,투수,정민태,현대
1998,포수,박경완,현대
1998,1루수,이승엽,삼성
1998,2루수,박정태,롯데
1998,3루수,김한수,삼성
1998,유격수,유지현,LG
1998,외야수,박재홍,현대
1998,외야수,김재현,LG
1998,외야수,전준호,현대
1998,지명타자,양준혁,삼성
1999,투수,정민태,현대
1999,포수,김동수,삼성
1999,1루수,이승엽,삼성
1999,2루수,박정태,롯데
1999,3루수,김한수,삼성
1999,유격수,유지현,LG
1999,외야수,정수근,두산
1999,외야수,이병규,LG
1999,외야수,호세,롯데
1999,지명타자,로마이어,한화
2000,투수,임선동,현대
2000,포수,박경완,현대
2000,1루수,이승엽,삼성
2000,2루수,박종호,현대
2000,3루수,김동주,두산
2000,유격수,박진만,현대
2000,외야수,박재홍,현대
2000,외야수,이병규,LG
2000,외야수,송지만,한화
2000,지명타자,우즈,두산
2001,투수,신윤호,LG
2001,포수,홍성흔,두산
2001,1루수,이승엽,삼성
2001,2루수,안경현,두산
2001,3루수,김한수,삼성
2001,유격수,박진만,현대
2001,외야수,정수근,두산
