year,champion,runner_up,series_result,mvp
1982,OB Bears,Samsung Lions,4-1-(1),Kim Yu-dong
1983,Haitai Tigers,MBC Chungyong,4-0-(1),Kim Bong-yeon
1984,Lotte Giants,Samsung Lions,4-3,Yu Du-yeol
1985,Samsung Lions,N/A,No Series,N/A
1986,Haitai Tigers,Samsung Lions,4-1,Kim Jung-soo
1987,Haitai Tigers,Samsung Lions,4-0,Kim Jun-hwan
1988,Haitai Tigers,Binggrae Eagles,4-2,Mun Hui-su
1989,Haitai Tigers,Binggrae Eagles,4-1,Park Cheol-u
1990,LG Twins,Samsung Lions,4-0,Kim Yong-soo
1991,Haitai Tigers,Binggrae Eagles,4-0,Jang Chae-geun
1992,Lotte Giants,Binggrae Eagles,4-1,Park Dong-hui
1993,Haitai Tigers,Samsung Lions,4-2-(1),Lee Jong-beom
1994,LG Twins,Pacific Dolphins,4-0,Kim Yong-soo
1995,OB Bears,Lotte Giants,4-3,Kim Min-ho
1996,Haitai Tigers,Hyundai Unicorns,4-2,Lee Kang-chul
1997,Haitai Tigers,LG Twins,4-1,Lee Jong-beom
1998,Hyundai Unicorns,LG Twins,4-2,Chung Min-tae
1999,Hanwha Eagles,Lotte Giants,4-1,Koo Dae-sung
2000,Hyundai Unicorns,Doosan Bears,4-3,Tom Quinlan
2001,Doosan Bears,Samsung Lions,4-2,Tyrone Woods
2002,Samsung Lions,LG Twins,4-2,Ma Hae-yeong
2003,Hyundai Unicorns,SK Wyverns,4-3,Chung Min-tae
2004,Hyundai Unicorns,Samsung Lions,4-2-(3),Cho Yong-joon
2005,Samsung Lions,Doosan Bears,4-0,Oh Seung-hwan
2006,Samsung Lions,Hanwha Eagles,4-1-(1),Park Jin-man
2007,SK Wyverns,Doosan Bears,4-2,Kim Jae-hyun
2008,SK Wyverns,Doosan Bears,4-1,Choi Jeong
2009,Kia Tigers,SK Wyverns,4-3,Na Ji-wan
2010,SK Wyverns,Samsung Lions,4-0,Park Jung-kwon
2011,Samsung Lions,SK Wyverns,4-1,Oh Seung-hwan
2012,Samsung Lions,SK Wyverns,4-2,Lee Seung-yeop
2013,Samsung Lions,Doosan Bears,4-3,Park Han-yi
2014,Samsung Lions,Nexen Heroes,4-2,Yamaico Navarro
2015,Doosan Bears,Samsung Lions,4-1,Jung Soo-bin
2016,Doosan Bears,NC Dinos,4-0,Yang Eui-ji
2017,Kia Tigers,Doosan Bears,4-1,Yang Hyeon-jong
2018,SK Wyverns,Doosan Bears,4-2,Han Dong-min
2019,Doosan Bears,Kiwoom Heroes,4-0,Oh Jae-il
2020,NC Dinos,Doosan Bears,4-2,Yang Eui-ji
2021,KT Wiz,Doosan Bears,4-0,Park Kyung-su
2022,SSG Landers,Kiwoom Heroes,4-2,Kim Kang-min
2023,LG Twins,KT Wiz,4-1,Oh Ji-hwan
2024,Kia Tigers,Samsung Lions,4-1,Kim Sun-bin
2025,LG Twins,Hanwha Eagles,4-1,Kim Hyun-soo
