year,team,G,W,L,SV,WPCT,rank
2001,삼성,133.0,81.0,52.0,43.0,0.609,1
2001,현대,133.0,72.0,57.0,39.0,0.558,2
2001,두산,133.0,65.0,63.0,35.0,0.508,3
2001,한화,133.0,61.0,68.0,25.0,0.473,4
2001,KIA,133.0,60.0,68.0,28.0,0.469,5
2001,LG,133.0,58.0,67.0,26.0,0.464,6
2001,SK,133.0,60.0,71.0,33.0,0.458,7
2001,롯데,133.0,59.0,70.0,33.0,0.457,8
2002,삼성,133.0,82.0,47.0,37.0,0.636,1
2002,KIA,133.0,78.0,51.0,38.0,0.605,2
2002,현대,133.0,70.0,58.0,38.0,0.547,3
2002,LG,133.0,66.0,61.0,32.0,0.52,4
2002,두산,133.0,66.0,65.0,38.0,0.504,5
2002,SK,133.0,61.0,69.0,25.0,0.469,6
2002,한화,133.0,59.0,69.0,32.0,0.461,7
2002,롯데,133.0,35.0,97.0,13.0,0.265,8
2003,현대,133.0,80.0,51.0,39.0,0.611,1
2003,KIA,133.0,78.0,50.0,36.0,0.609,2
2003,삼성,133.0,76.0,53.0,30.0,0.589,3
2003,SK,133.0,66.0,64.0,43.0,0.508,4
2003,한화,133.0,63.0,65.0,35.0,0.492,5
2003,LG,133.0,60.0,71.0,37.0,0.458,6
2003,두산,133.0,57.0,74.0,30.0,0.435,7
2003,롯데,133.0,39.0,91.0,22.0,0.3,8
2004,현대,133.0,75.0,53.0,36.0,0.586,1
2004,삼성,133.0,73.0,52.0,42.0,0.584,2
2004,두산,133.0,70.0,62.0,38.0,0.53,3
2004,KIA,133.0,67.0,61.0,27.0,0.523,4
2004,SK,133.0,61.0,64.0,29.0,0.488,5
2004,LG,133.0,59.0,70.0,35.0,0.457,6
2004,한화,133.0,53.0,74.0,37.0,0.417,7
2004,롯데,133.0,50.0,72.0,29.0,0.41,8
2005,삼성,126.0,74.0,48.0,37.0,0.607,1
2005,두산,126.0,72.0,51.0,33.0,0.585,2
2005,SK,126.0,70.0,50.0,27.0,0.583,3
2005,한화,126.0,64.0,61.0,36.0,0.512,4
2005,롯데,126.0,58.0,67.0,33.0,0.464,5
2005,LG,126.0,54.0,71.0,31.0,0.432,6
2005,현대,126.0,53.0,70.0,28.0,0.431,7
2005,KIA,126.0,49.0,76.0,24.0,0.392,8
2006,삼성,126.0,73.0,50.0,49.0,0.593,1
2006,현대,126.0,70.0,55.0,41.0,0.56,2
2006,한화,126.0,67.0,57.0,41.0,0.54,3
2006,KIA,126.0,64.0,59.0,35.0,0.52,4
2006,두산,126.0,63.0,60.0,39.0,0.512,5
2006,SK,126.0,60.0,65.0,33.0,0.48,6
2006,롯데,126.0,50.0,73.0,28.0,0.407,7
2006,LG,126.0,47.0,75.0,29.0,0.385,8
2007,SK,126.0,73.0,48.0,36.0,0.603,1
2007,두산,126.0,70.0,54.0,30.0,0.565,2
2007,한화,126.0,67.0,57.0,39.0,0.54,3
2007,삼성,126.0,62.0,60.0,41.0,0.508,4
2007,LG,126.0,58.0,62.0,34.0,0.483,5
2007,현대,126.0,56.0,69.0,27.0,0.448,6
2007,롯데,126.0,55.0,68.0,22.0,0.447,7
2007,KIA,126.0,51.0,74.0,26.0,0.408,8
2008,SK,126.0,83.0,43.0,43.0,0.659,1
2008,두산,126.0,70.0,56.0,26.0,0.556,2
2008,롯데,126.0,69.0,57.0,27.0,0.548,3
2008,삼성,126.0,65.0,61.0,40.0,0.516,4
2008,한화,126.0,64.0,62.0,36.0,0.508,5
2008,KIA,126.0,57.0,69.0,29.0,0.452,6
2008,우리,126.0,50.0,76.0,29.0,0.397,7
2008,LG,126.0,46.0,80.0,25.0,0.365,8
2009,SK,133.0,80.0,47.0,33.0,0.63,1
2009,KIA,133.0,81.0,48.0,38.0,0.628,2
2009,두산,133.0,71.0,60.0,32.0,0.542,3
2009,롯데,133.0,66.0,67.0,40.0,0.496,4
2009,삼성,133.0,64.0,69.0,32.0,0.481,5
2009,히어로즈,133.0,60.0,72.0,29.0,0.455,6
2009,LG,133.0,54.0,75.0,25.0,0.419,7
2009,한화,133.0,46.0,84.0,16.0,0.354,8
2010,SK,133.0,84.0,47.0,36.0,0.641,1
2010,삼성,133.0,79.0,52.0,33.0,0.603,2
2010,두산,133.0,73.0,57.0,30.0,0.562,3
2010,롯데,133.0,69.0,61.0,21.0,0.531,4
2010,LG,133.0,57.0,71.0,31.0,0.445,5
2010,KIA,133.0,59.0,74.0,25.0,0.444,6
2010,넥센,133.0,52.0,78.0,27.0,0.4,7
2010,한화,133.0,49.0,82.0,24.0,0.374,8
2011,삼성,133.0,79.0,50.0,48.0,0.612,1
2011,롯데,133.0,72.0,56.0,27.0,0.563,2
2011,SK,133.0,71.0,59.0,37.0,0.546,3
2011,KIA,133.0,70.0,63.0,29.0,0.526,4
2011,두산,133.0,61.0,70.0,34.0,0.466,5
2011,LG,133.0,59.0,72.0,30.0,0.45,6
2011,한화,133.0,59.0,72.0,26.0,0.45,6
2011,넥센,133.0,51.0,80.0,30.0,0.389,8
2012,삼성,133.0,80.0,51.0,39.0,0.611,1
2012,SK,133.0,71.0,59.0,40.0,0.546,2
2012,두산,133.0,68.0,62.0,38.0,0.523,3
2012,롯데,133.0,65.0,62.0,39.0,0.512,4
2012,KIA,133.0,62.0,65.0,27.0,0.488,5
2012,넥센,133.0,61.0,69.0,36.0,0.469,6
2012,LG,133.0,57.0,72.0,35.0,0.442,7
2012,한화,133.0,53.0,77.0,29.0,0.408,8
2013,삼성,128.0,75.0,51.0,31.0,0.595,1
2013,LG,128.0,74.0,54.0,42.0,0.578,2
2013,넥센,128.0,72.0,54.0,50.0,0.571,3
2013,두산,128.0,71.0,54.0,30.0,0.568,4
2013,롯데,128.0,66.0,58.0,38.0,0.532,5
2013,SK,128.0,62.0,63.0,31.0,0.496,6
2013,NC,128.0,52.0,72.0,26.0,0.419,7
2013,KIA,128.0,51.0,74.0,32.0,0.408,8
2013,한화,128.0,42.0,85.0,22.0,0.331,9
2014,삼성,128.0,78.0,47.0,35.0,0.624,1
2014,넥센,128.0,78.0,48.0,35.0,0.619,2
2014,NC,128.0,70.0,57.0,31.0,0.551,3
2014,LG,128.0,62.0,64.0,35.0,0.492,4
2014,SK,128.0,61.0,65.0,26.0,0.484,5
2014,두산,128.0,59.0,68.0,19.0,0.465,6
2014,롯데,128.0,58.0,69.0,28.0,0.457,7
2014,KIA,128.0,54.0,74.0,26.0,0.422,8
2014,한화,128.0,49.0,77.0,26.0,0.389,9
2015,삼성,144.0,88.0,56.0,34.0,0.611,1
2015,NC,144.0,84.0,57.0,37.0,0.596,2
2015,두산,144.0,79.0,65.0,30.0,0.549,3
2015,넥센,144.0,78.0,65.0,29.0,0.545,4
2015,SK,144.0,69.0,73.0,31.0,0.486,5
2015,한화,144.0,68.0,76.0,32.0,0.472,6
2015,KIA,144.0,67.0,77.0,32.0,0.465,7
2015,롯데,144.0,66.0,77.0,19.0,0.462,8
2015,LG,144.0,64.0,78.0,25.0,0.451,9
2015,KT,144.0,52.0,91.0,16.0,0.364,10
2016,두산,144.0,93.0,50.0,36.0,0.65,1
2016,NC,144.0,83.0,58.0,36.0,0.589,2
2016,넥센,144.0,77.0,66.0,38.0,0.538,3
2016,LG,144.0,71.0,71.0,34.0,0.5,4
2016,KIA,144.0,70.0,73.0,38.0,0.49,5
2016,SK,144.0,69.0,75.0,31.0,0.479,6
2016,한화,144.0,66.0,75.0,24.0,0.468,7
2016,롯데,144.0,66.0,78.0,27.0,0.458,8
2016,삼성,144.0,65.0,78.0,34.0,0.455,9
2016,KT,144.0,53.0,89.0,27.0,0.373,10
2017,KIA,144.0,87.0,56.0,33.0,0.608,1
2017,두산,144.0,84.0,57.0,35.0,0.596,2
2017,롯데,144.0,80.0,62.0,39.0,0.563,3
2017,NC,144.0,79.0,62.0,32.0,0.56,4
2017,SK,144.0,75.0,68.0,30.0,0.524,5
2017,LG,144.0,69.0,72.0,32.0,0.489,6
2017,넥센,144.0,69.0,73.0,40.0,0.486,7
2017,한화,144.0,61.0,81.0,31.0,0.43,8
2017,삼성,144.0,55.0,84.0,27.0,0.396,9
2017,KT,144.0,50.0,94.0,22.0,0.347,10
2018,두산,144.0,93.0,51.0,41.0,0.646,1
2018,SK,144.0,78.0,65.0,29.0,0.545,2
2018,한화,144.0,77.0,67.0,37.0,0.535,3
2018,넥센,144.0,75.0,69.0,32.0,0.521,4
2018,KIA,144.0,70.0,74.0,26.0,0.486,5
2018,삼성,144.0,68.0,72.0,33.0,0.486,5
2018,롯데,144.0,68.0,74.0,29.0,0.479,7
2018,LG,144.0,68.0,75.0,29.0,0.476,8
2018,KT,144.0,59.0,82.0,24.0,0.418,9
2018,NC,144.0,58.0,85.0,24.0,0.406,10
2019,두산,144.0,88.0,55.0,44.0,0.615,1
2019,SK,144.0,88.0,55.0,51.0,0.615,1
2019,키움,144.0,86.0,57.0,39.0,0.601,3
2019,LG,144.0,79.0,64.0,43.0,0.552,4
2019,NC,144.0,73.0,69.0,32.0,0.514,5
2019,KT,144.0,71.0,71.0,37.0,0.5,6
2019,KIA,144.0,62.0,80.0,30.0,0.437,7
2019,삼성,144.0,60.0,83.0,29.0,0.42,8
2019,한화,144.0,58.0,86.0,28.0,0.403,9
2019,롯데,144.0,48.0,93.0,16.0,0.34,10
2020,NC,144.0,83.0,55.0,31.0,0.601,1
2020,KT,144.0,81.0,62.0,33.0,0.566,2
2020,두산,144.0,79.0,61.0,23.0,0.564,3
2020,LG,144.0,79.0,61.0,29.0,0.564,3
2020,키움,144.0,80.0,63.0,42.0,0.559,5
2020,KIA,144.0,73.0,71.0,33.0,0.507,6
2020,롯데,144.0,71.0,72.0,25.0,0.497,7
2020,삼성,144.0,64.0,75.0,25.0,0.46,8
2020,SK,144.0,51.0,92.0,20.0,0.357,9
2020,한화,144.0,46.0,95.0,21.0,0.326,10
